klo	k	kup	kwlo	kw	kwup
j7_j24	-0.0438803942179673	0.0672622175512349	0.178404829320437	0.224000800862773	0.381273797161648	0.538546793460522
j7_j25	-0.0513217454658544	0.0511133603238866	0.153548466113628	0.395820126246798	0.509745661991918	0.623671197737038
klo	k	kup	kwlo	kw	kwup
j8_j1	0.184258075997437	0.312060889929742	0.439863703862048	0.47028632929236	0.617099651027531	0.763912972762701
j8_j2	0.0299656936086666	0.155835454910894	0.281705216213121	0.509604495253202	0.62380810488677	0.738011714520338
j8_j3	-0.0486358985567865	0.0588235294117647	0.166282957380316	0.257580029698941	0.434805467928496	0.612030906158051
j8_j4	0.0877115475961194	0.229011993146773	0.370312438697427	0.532606888633659	0.653202774377805	0.773798660121952
j8_j5	-0.0697693190870052	0.0377911030539673	0.14535152519494	0.348410635191461	0.477946916471506	0.607483197751552
j8_j6	0.0399084894909023	0.158576051779935	0.277243614068968	0.440917665073126	0.567435669920142	0.693953674767158
j8_j7	0.0728898128828781	0.202639538080836	0.332389263278794	0.390738100692499	0.523562023562024	0.656385946431548
j8_j9	0.0144089399655462	0.132060355187609	0.249711770409671	0.232163012501084	0.395338610378188	0.558514208255291
j8_j10	0.136043713728833	0.257779046531544	0.379514379334256	0.512057747687153	0.633596392333709	0.755135036980264
j8_j11	-0.0681827601214139	0.0152634170359429	0.0987095941932997	0.121849690063476	0.232773595830921	0.343697501598366
j8_j12	0.0240208261732995	0.128127369219105	0.232233912264911	0.148819824373504	0.289737171464331	0.430654518555158
j8_j13	-0.0667491368171433	0.0158216020929364	0.098392341003016	0.126896098296766	0.238101864736989	0.349307631177211
j8_j14	0.220013811838228	0.348669623059867	0.477325434281506	0.620047852447431	0.7165991902834	0.81315052811937
j8_j15	0.220205610149764	0.358883031770908	0.497560453392051	0.607455668748702	0.711093990755008	0.814732312761314
j8_j16	0.185312641771091	0.317548746518106	0.44978485126512	0.628266278645281	0.728744219139097	0.829222159632912
j8_j17	0.0627099039169119	0.180103853511889	0.297497803106865	0.297296441934746	0.465217391304348	0.63313834067395
j8_j18	-0.099799450297476	-0.0177485416408093	0.0643023670158574	0.223396192629351	0.334248865536183	0.445101538443015
j8_j19	0.0592897081478925	0.1892263295314	0.319162950914908	0.362864748402831	0.518613607188704	0.674362465974576
